"","Player","PER","G"
"268","Rasheed Wallace",15.09,159
"269","Antonio McDyess",15.09,86
"270","John Drew",15.09,9
"271","Delon Wright",15.08,10
"272","Mookie Blaylock",15.07,40
"273","Eddie Johnson",15.06,81
"274","Bob Warlick",15.03,10
"275","Wes Unseld",15.02,113
"276","Cedric Maxwell",15.02,88
"277","Allan Houston",15.02,55
"278","Marcin Gortat",15.02,72
"279","Steve Smith",15,55
"280","Tristan Thompson",15,74
"281","Reggie King",14.99,15
"282","Scott Burrell",14.99,21
"283","Dave DeBusschere",14.98,92
"284","Derrek Dickey",14.96,15
"285","Bob Love",14.95,38
"286","Bob Cousy",14.95,50
"287","Steve Hawes",14.95,9
"288","Taj Gibson",14.93,40
"289","Troy Hudson",14.93,6
"290","Marreese Speights",14.93,24
"291","Anthony Roberts",14.91,13
"292","Andrei Kirilenko",14.9,29
"293","Mickey Johnson",14.9,6
"294","Ben Gordon",14.88,23
"295","Walter Dukes",14.88,10
"296","Greg Ballard",14.87,45
"297","Sam Cassell",14.85,125
"298","Hal Greer",14.83,74
"299","Paul Westphal",14.81,77
"300","Blair Rasmussen",14.81,11
"301","Terry Rozier",14.79,36
"302","Kenny Smith",14.77,57
"303","Matt Geiger",14.77,8
"304","Bonzi Wells",14.75,13
"305","Ricky Pierce",14.74,62
"306","Avery Johnson",14.72,74
"307","Lewis Lloyd",14.72,20
"308","Nene Hilario",14.69,36
"309","Kenny Thomas",14.69,12
"310","Cazzie Russell",14.67,47
"311","Charles Dudley",14.62,23
"312","Kenyon Martin",14.6,85
"313","Mikki Moore",14.6,12
"314","Jerry Lucas",14.56,48
"315","Larry Wright",14.56,39
"316","Don Kojis",14.55,6
"317","Patty Mills",14.54,39
"318","Thaddeus Young",14.53,26
"319","Eddie Jones",14.52,60
"320","Mel Counts",14.5,64
"321","Brian Winters",14.5,31
"322","Austin Carr",14.47,13
"323","Jack Sikma",14.46,83
"324","Lucius Allen",14.44,31
"325","Jeff Teague",14.44,53
"326","Howard Porter",14.44,9
"327","Joe Dumars",14.42,100
"328","George Johnson",14.41,30
"329","Cory Joseph",14.41,30
"330","James Silas",14.4,14
"331","Gary Payton",14.39,138
"332","Voshon Lenard",14.39,17
"333","Larry Johnson",14.38,62
"334","Bill Laimbeer",14.37,99
"335","Archie Clark",14.35,42
"336","Steven Adams",14.34,36
"337","Jack Marin",14.3,31
"338","Jeff Cook",14.3,7
"339","George McGinnis",14.3,29
"340","Dennis Johnson",14.29,169
"341","John Starks",14.28,90
"342","Antonio Davis",14.27,79
"343","Jason Terry",14.25,89
"344","Mehmet Okur",14.25,68
"345","LaPhonso Ellis",14.25,12
"346","Andrew Toney",14.21,62
"347","Bobby Phills",14.21,9
"348","Klay Thompson",14.19,98
"349","Jalen Rose",14.16,51
"350","Lenny Wilkens",14.16,60
"351","Detlef Schrempf",14.15,73
"352","Jimmy Walker",14.15,6
"353","Peja Stojakovic",14.14,78
"354","Albert King",14.1,11
"355","Brad Miller",14.07,12
"356","Micheal Ray Richardson",14.06,11
"357","Marvin Webster",14.05,34
"358","Speedy Claxton",14.05,24
"359","Orlando Woolridge",14.05,15
"360","World B. Free",14.04,25
"361","Boris Diaw",14.02,94
"362","Andris Biedrins",14.02,11
"363","Derek Harper",14.01,79
"364","Bob Boozer",14.01,26
"365","Earl Tatum",14,11
"366","Drew Gooden",13.98,40
"367","David Lee",13.98,22
"368","Andre Iguodala",13.97,112
"369","Glen Rice",13.96,39
"370","Jamaal Wilkes",13.95,93
"371","Robert Horry",13.94,221
"372","Phil Smith",13.94,39
"373","Rich Kelley",13.94,11
"374","Spencer Hawes",13.94,13
"375","Terrence Jones",13.94,17
"376","Jermaine O'Neal",13.92,41
"377","Joe Barry Carroll",13.92,10
"378","George Hill",13.89,88
"379","Brendan Haywood",13.85,28
"380","Paul Pressey",13.84,50
"381","Nazr Mohammed",13.81,23
"382","Hot Rod Williams",13.8,26
"383","John Shumate",13.8,9
"384","Nenad Krstic",13.8,11
"385","Rashard Lewis",13.78,74
"386","Bryon Russell",13.78,84
"387","Matt Harpring",13.78,29
"388","Sam Lacey",13.77,21
"389","Dick Barnett",13.76,78
"390","Kevin Willis",13.74,57
"391","Reggie Jackson",13.71,30
"392","Chris Morris",13.71,35
"393","Red Kerr",13.71,8
"394","Ersan Ilyasova",13.69,10
"395","Jamal Crawford",13.67,50
"396","Happy Hairston",13.66,43
"397","Kevin Porter",13.65,17
"398","Linas Kleiza",13.65,14
"399","Lonnie Shelton",13.64,40
"400","Gene Shue",13.64,10
"401","Jimmy Jones",13.64,11
"402","Otto Porter",13.62,23
"403","Danny Green",13.6,91
"404","Johnny Davis",13.6,22
"405","Josh Childress",13.6,7
"406","Richard Dumas",13.59,23
"407","Metta World Peace",13.58,72
"408","Craig Ehlo",13.58,37
"409","Willie Norwood",13.57,6
"410","Ime Udoka",13.56,16
"411","Tony Delk",13.54,24
"412","J.J. Barea",13.54,31
"413","Johnny Egan",13.52,18
"414","Rodney Stuckey",13.51,17
"415","Sam Perkins",13.5,131
"416","Junior Bridgeman",13.49,25
"417","Charles Oakley",13.45,132
"418","Scott Wedman",13.44,59
"419","Jaylen Brown",13.43,35
"420","Otis Birdsong",13.43,19
"421","Byron Scott",13.42,166
"422","Jeff Malone",13.42,25
"423","Butch Beard",13.42,17
"424","Mike Bratz",13.41,15
"425","Marquis Daniels",13.4,20
"426","Ronnie Brewer",13.39,28
"427","Norm Van Lier",13.38,31
"428","Curtis Rowe",13.37,25
"429","Christian Laettner",13.36,20
"430","Mike Green",13.35,14
"431","James Donaldson",13.32,27
"432","Ricky Sobers",13.32,19
"433","Vern Fleming",13.3,16
"434","Chandler Parsons",13.28,12
"435","Raymond Felton",13.27,12
"436","Rudy Gay",13.27,7
"437","Ernie Grunfeld",13.26,15
"438","Charles Smith",13.26,51
"439","James Posey",13.24,48
"440","Greg Smith",13.24,24
"441","Nick Anderson",13.24,32
"442","Jim McMillian",13.23,66
"443","Phil Chenier",13.21,45
"444","Anderson Varejao",13.2,71
"445","Jared Dudley",13.2,16
"446","Spencer Haywood",13.2,16
"447","Raef LaFrentz",13.2,28
"448","Mike Mitchell",13.19,20
"449","Antoine Walker",13.17,55
"450","Jim Jackson",13.17,45
"451","Leon Powe",13.17,23
"452","Ron Williams",13.17,15
"453","Nick Van Exel",13.16,60
"454","Dan Majerle",13.15,106
"455","Tayshaun Prince",13.14,129
"456","Tom Chambers",13.14,82
"457","Aaron McKie",13.12,45
"458","Kevin Martin",13.1,11
"459","Jeff Mullins",13.09,63
"460","Artis Gilmore",13.09,17
"461","Gar Heard",13.08,55
"462","Travis Best",13.08,39
"463","Rudy LaRusso",13.08,88
"464","George Lynch",13.08,37
"465","Elden Campbell",13.06,38
